SMILES,pIC50,mol,num_atoms,logP
CCCCCCCCCCCCCCCC(=O)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b840>,18,5.552300000000005
CCCCCCCCCCCCCCCCCC(=O)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b8b0>,20,6.332500000000007
NC(N)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b920>,4,-0.9762000000000002
CC(C)(O)C(Cl)(Cl)Cl,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b990>,8,2.127500000000001
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ba00>,25,2.0925000000000002
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ba70>,21,1.1981
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bae0>,19,1.7696
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bb50>,18,2.2131
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bbc0>,16,1.1849999999999998
CCC1(CC)C(=O)NC(=O)NC1=O,0.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bc30>,13,0.15879999999999994
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bca0>,20,1.7739
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bd10>,23,-5.395599999999993
CCCC(C)(COC(N)=O)COC(N)=O,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bd80>,15,0.9834000000000005
CC(O)CO,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bdf0>,5,-0.6405000000000001
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,0.36,<rdkit.Chem.rdchem.Mol object at 0x7f59a296be60>,33,0.4390000000000007
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bed0>,22,3.6126000000000023
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296bf40>,19,2.1955
N=C(N)NS(=O)(=O)c1ccc(N)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c040>,14,-0.5594299999999999
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c0b0>,19,1.4764399999999998
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c120>,18,5.682800000000001
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c190>,23,4.723500000000005
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c200>,29,3.795500000000003
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c270>,20,5.763040000000005
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c2e0>,20,2.8499000000000025
Cn1c(=O)c2c(ncn2C)n(C)c1=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c350>,14,-1.0293
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c3c0>,17,2.5238000000000005
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c430>,17,1.55042
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c4a0>,22,4.269300000000005
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c510>,22,4.205100000000003
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c580>,21,3.8792000000000026
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c5f0>,21,2.950700000000001
CC1=CC(=O)c2ccccc2C1=O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c660>,13,2.0119000000000002
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c6d0>,23,3.781100000000003
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c740>,25,4.580200000000004
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c7b0>,27,3.942700000000003
CN(C)CCCN1c2ccccc2Sc2ccccc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c820>,20,4.241000000000003
Cn1c(=O)c2[nH]cnc2n(C)c1=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c890>,13,-1.0397000000000005
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c900>,19,-1.9800000000000006
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c970>,19,-1.8566000000000003
CN(C)CCOC(c1ccccc1)c1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296c9e0>,19,3.3542000000000023
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ca50>,25,3.860000000000003
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cac0>,12,3.644400000000001
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cb30>,11,4.005799999999999
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cba0>,17,-0.35129999999999967
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cc10>,17,-0.0608999999999999
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cc80>,17,-2.8519
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ccf0>,33,0.2684000000000012
CCOc1cc(N)ccc1C(=O)O,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cd60>,13,1.3657000000000001
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cdd0>,17,-1.0602
CCN(CC)C(=O)c1cccnc1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ce40>,13,1.5636
O=c1ccc2ccccc2[nH]1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ceb0>,11,1.5280999999999998
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cf20>,21,2.0128
CNCC(O)c1cccc(O)c1,0.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a296cf90>,12,0.645
CCN(CC)CCOC(=O)c1ccc(N)cc1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d000>,17,1.7673999999999999
Cc1ccccc1OCC(O)CO,0.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d070>,13,0.7270199999999998
O=C1Cc2ccccc2N1,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d0e0>,10,1.1812
O=c1[nH]c2ccccc2o1,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d150>,10,1.1211
Cc1cc(O)ccc1Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d1c0>,9,2.3540200000000002
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d230>,15,3.024800000000001
Cc1cc(C(=O)NNCc2ccccc2)no1,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d2a0>,17,1.4176199999999997
CC(=O)Nc1nnc(S(N)(=O)=O)s1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d310>,13,-0.8561000000000003
O=C(O)c1cccnc1,0.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d380>,9,0.7797999999999999
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.65,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d3f0>,14,0.19000000000000006
O=NN1CCOCC1,1.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d460>,8,0.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,0.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d4d0>,14,0.052200000000000135
c1ccc(CC2=NCCN2)cc1,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d540>,12,1.2308
Nc1ccc(N=Nc2ccccc2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d5b0>,15,3.6842000000000015
CN(C)c1ccc(N=Nc2ccccc2)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d620>,17,4.168000000000003
OCCc1ccccc1,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d690>,9,1.2214
NC(Cc1ccc(F)cc1)C(=O)O,0.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d700>,13,0.7801
NC(Cc1ccc(O)cc1)C(=O)O,0.45,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d770>,13,0.3466
CN1CC(=O)NC1=N,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d7e0>,8,-1.0172299999999999
CCOCC,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d850>,5,1.0428000000000002
NCCCCCC(=O)O,0.26,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d8c0>,9,0.5901000000000001
CCCCCC=CCC=CCCCCCCCC(=O)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d930>,20,5.884500000000005
CNN,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296d9a0>,3,-0.9205000000000001
CC(N)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296da10>,4,-0.5084000000000002
CNC(=O)CSP(=S)(OC)OC,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a296da80>,12,0.9828999999999999
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296daf0>,32,-0.21439999999999837
Cn1cc[nH]c1=S,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a296db60>,7,1.08269
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dbd0>,19,4.481400000000002
Cc1cc(=O)n(-c2ccccc2)n1C,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dc40>,14,1.4844199999999999
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dcb0>,20,4.239400000000003
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dd20>,22,-0.8174000000000006
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dd90>,23,4.495600000000004
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296de00>,22,4.249600000000004
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,0.11,<rdkit.Chem.rdchem.Mol object at 0x7f59a296de70>,26,0.9490999999999996
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,0.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dee0>,23,0.8607999999999998
NCCc1c[nH]c2ccccc12,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296df50>,12,1.6691
O=C1NCCN1c1ncc([N+](=O)[O-])s1,0.26,<rdkit.Chem.rdchem.Mol object at 0x7f59a296dfc0>,14,0.5808999999999997
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e030>,18,3.7452400000000017
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e0a0>,29,2.5487200000000003
CNCC(O)c1cccc(O)c1,0.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e110>,12,0.645
Nc1ccc(C(=O)NCC(=O)O)cc1,0.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e180>,14,0.08319999999999966
Nc1nc2cc(Cl)ccc2o1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e1f0>,11,2.0633999999999997
Nc1nc[nH]n1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e260>,6,-0.6131000000000002
CC(C)CC(N)C(=O)O,0.36,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e2d0>,9,0.44439999999999996
O=C(O)c1ccc([N+](=O)[O-])cc1,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e340>,12,1.293
CCOc1ccc(NC(C)=O)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e3b0>,13,2.0437
Nc1ccccc1,0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e420>,7,1.2688000000000001
CC(N)=S,0.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e490>,4,0.2924
NC(N)=S,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e500>,4,-0.8113000000000001
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e570>,23,1.7542999999999997
COP(=O)(OC)OC=C(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e5e0>,11,2.6804000000000006
CN(C)N=O,0.59,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e650>,5,0.22939999999999994
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e6c0>,21,4.087400000000003
CNC(=O)Oc1cccc2ccccc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e730>,15,2.5580000000000007
CSCCC(N)C(=O)O,0.71,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e7a0>,9,0.1513999999999998
Nc1ccc(S(N)(=O)=O)cc1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e810>,11,-0.08380000000000004
COC(=O)C1=CCCN(C)C1,0.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e880>,11,0.4213
NC(Cc1ccccc1)C(=O)O,0.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e8f0>,12,0.641
NC(=O)NC(=O)Cc1ccccc1,0.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e960>,13,0.42399999999999954
Cc1cccc(NC(N)=O)c1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e9d0>,11,1.48562
CNC(=O)Oc1cccc(C(C)C)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ea40>,14,2.528200000000001
NCCc1ccccc1,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a296eab0>,9,1.1878
NC(=O)Nc1ccccc1,0.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a296eb20>,10,1.1772000000000002
COc1ccc(CC(C)N)cc1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a296eb90>,12,1.5849
CCO,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ec00>,3,-0.0014000000000000123
O=CO,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ec70>,3,-0.29919999999999997
CC(=O)O,0.81,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ece0>,4,0.09089999999999993
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ed50>,20,3.1952000000000016
CCOS(=O)(=O)OCC,0.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a296edc0>,9,0.30420000000000014
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ee30>,18,1.78302
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296eea0>,24,3.6959000000000026
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ef10>,29,2.871600000000001
Cc1ncc(CO)c(CO)c1O,0.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ef80>,12,0.08021999999999985
NC(=O)c1ccccc1O,0.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a296eff0>,10,0.49110000000000004
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f060>,17,-2.563
Nc1ccc(C(=O)O)c(O)c1,0.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f0d0>,11,0.6726000000000001
Cc1c[nH]c(=O)[nH]c1=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f140>,9,-0.6283800000000002
O=C(O)c1ccccc1,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f1b0>,9,1.3848
O=C(O)c1cc(O)nc(O)n1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f220>,11,-0.4140000000000001
O=c1cc[nH]c(=O)[nH]1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f290>,8,-0.9368000000000001
CCCCCC=O,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f300>,7,1.7656
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f370>,29,1.8981999999999999
c1cnc2c(c1)ccc1cccnc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f3e0>,14,2.7830000000000004
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f450>,25,2.9014000000000006
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f4c0>,28,1.89532
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f530>,20,1.0415
O=c1ccc2cc3ccoc3cc2o1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f5a0>,14,2.539200000000001
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,0.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f610>,17,0.07349999999999995
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,0.11,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f680>,16,0.9739
Cc1cc(C)[nH]n1,0.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f6f0>,7,1.02654
O=C1CC(=O)NC(=O)N1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f760>,9,-1.2575
CC(C)O,0.41,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f7d0>,4,0.38710000000000006
CC(C)=O,0.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f840>,4,0.5952999999999999
ClC(Cl)Cl,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f8b0>,4,1.9864
CS(C)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f920>,4,-0.005299999999999971
CS(C)(=O)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296f990>,5,-0.33919999999999995
